view_id,view,crypto,accuracy_down,accuracy_neutral,accuracy_up,precision_down,precision_neutral,precision_up,recall_down,recall_neutral,recall_up,f1_down,f1_neutral,f1_up,exec_time
I,candles-HOUBI--candles-OKX,BNB,0.008827238335435058,0.9989487988103479,0.006094182825484765,0.3181818181818182,0.9044103992571959,0.2682926829268293,0.008827238335435058,0.9989487988103479,0.006094182825484765,0.01717791411042945,0.9493317739361379,0.01191765980498375,91.50106287002563
G,candles-BINANCE--candles-HOUBI,DOGE,0.005020538566864446,0.9990989599423334,0.012540640966093822,0.4583333333333333,0.9005035153258928,0.40298507462686567,0.005020538566864446,0.9990989599423334,0.012540640966093822,0.009932279909706547,0.9472425281605057,0.024324324324324326,123.9051902294159
H,candles-BINANCE--candles-OKX,DOGE,0.004564125969876769,0.9990217279373906,0.01672085462145843,0.45454545454545453,0.9007474119121675,0.42857142857142855,0.004564125969876769,0.9990217279373906,0.01672085462145843,0.009037505648441031,0.9473427239215878,0.03218596334376397,126.79823207855225
I,candles-HOUBI--candles-OKX,DOGE,0.005020538566864446,0.9992019359489239,0.01114723641430562,0.55,0.9004709648980349,0.36923076923076925,0.005020538566864446,0.9992019359489239,0.01114723641430562,0.009950248756218907,0.9472707969785349,0.02164111812443643,96.89301419258118
G,candles-BINANCE--candles-HOUBI,DOT,0.0018946570670708603,0.9987342773514754,0.017136329017517136,0.3333333333333333,0.8799135768051296,0.3488372093023256,0.0018946570670708603,0.9987342773514754,0.017136329017517136,0.0037678975131876418,0.935566341842973,0.032667876588021776,113.75466799736023
H,candles-BINANCE--candles-OKX,DOT,0.0022735884804850324,0.9989716003480738,0.020563594821020565,0.6,0.8799386802313428,0.432,0.0022735884804850324,0.9989716003480738,0.020563594821020565,0.004530011325028313,0.9356846473029046,0.03925845147219194,118.95398783683777
I,candles-HOUBI--candles-OKX,DOT,0.0015157256536566881,0.9989452311262295,0.016374714394516376,0.5714285714285714,0.8795681448804272,0.38738738738738737,0.0015157256536566881,0.9989452311262295,0.016374714394516376,0.003023431594860167,0.9354635585791364,0.031421264157837046,88.59840202331543
G,candles-BINANCE--candles-HOUBI,NEO,0.024630541871921183,0.9978308586184635,0.02072072072072072,0.38461538461538464,0.9010586699001959,0.304635761589404,0.024630541871921183,0.9978308586184635,0.02072072072072072,0.046296296296296294,0.9469788871325466,0.038802193167439894,109.7364649772644
H,candles-BINANCE--candles-OKX,NEO,0.020152261531571878,0.998218205293738,0.022072072072072072,0.3813559322033898,0.9008202833706189,0.3310810810810811,0.020152261531571878,0.998218205293738,0.022072072072072072,0.038281582305401955,0.9470215711013388,0.041385135135135136,118.47777032852173
I,candles-HOUBI--candles-OKX,NEO,0.010994044892349977,0.0,0.9975139007698888,0.3380281690140845,0.8705846670710653,0.2727272727272727,0.010994044892349977,0.9975139007698888,0.030456852791878174,0.021295474711623782,0.9297371371620781,0.05479452054794521,85.43835592269897
G,candles-BINANCE--candles-HOUBI,SOL,0.02487080103359173,0.9971695824460199,0.017696160267111852,0.44,0.8631696845249207,0.3375796178343949,0.02487080103359173,0.9971695824460199,0.017696160267111852,0.04708040354631611,0.9253436393881406,0.033629441624365486,124.11043286323547
H,candles-BINANCE--candles-OKX,SOL,0.026808785529715762,0.9968730625117934,0.01969949916527546,0.4256410256410256,0.8635779837937557,0.34705882352941175,0.026808785529715762,0.9968730625117934,0.01969949916527546,0.050440595563658465,0.9254504504504506,0.0372827804107425,123.44339513778687
I,candles-HOUBI--candles-OKX,SOL,0.028746770025839793,0.9966574116505378,0.018363939899833055,0.4427860696517413,0.8635726631475685,0.3179190751445087,0.028746770025839793,0.9966574116505378,0.018363939899833055,0.05398847437063997,0.9253544568332269,0.034722222222222224,95.73761582374573
J,snapshot-BINANCE--snapshot-HOUBI,AVAX,0.00028595939376608524,0.9999152470548351,0.0013972985561248254,1.0,0.8198369313443898,0.4,0.00028595939376608524,0.9999152470548351,0.0013972985561248254,0.0005717552887364209,0.9009660298591048,0.002784868879090276,1418.5478069782257
K,snapshot-BINANCE--snapshot-OKX,AVAX,0.001143837575064341,0.9998587450913919,0.0006986492780624127,0.6666666666666666,0.8198095944036506,0.2727272727272727,0.001143837575064341,0.9998587450913919,0.0006986492780624127,0.0022837567799029405,0.9009265858873842,0.0013937282229965157,2459.416486978531
L,snapshot-HOUBI--snapshot-OKX,AVAX,0.0,1.0,0.0,0.0,0.8195984902864288,0.0,0.0,1.0,0.0,0.0,0.9008564193273355,0.0,715.5075838565826
