,view_id,view,crypto,accuracy_down,accuracy_neutral,accuracy_up,precision_down,precision_neutral,precision_up,recall_down,recall_neutral,recall_up,f1_down,f1_neutral,f1_up,exec_time,learning_rate,max_iter,max_leaf_nodes
0,A,candles-BINANCE,AVAX,0.0071489848441521,0.9946888154363364,0.0230554261760596,0.2840909090909091,0.8232749549886594,0.2972972972972973,0.0071489848441521,0.9946888154363364,0.0230554261760596,0.0139470013947001,0.9009006703853436,0.0427923060298249,17.92524218559265,0.5,50.0,10.0
1,A,candles-BINANCE,AVAX,0.0142979696883042,0.9882475916038084,0.0363297624592454,0.1915708812260536,0.8255687718304541,0.2810810810810811,0.0142979696883042,0.9882475916038084,0.0363297624592454,0.0266098988823842,0.8996129563193561,0.0643431635388739,19.19834876060486,0.5,50.0,100.0
2,A,candles-BINANCE,AVAX,0.0071489848441521,0.9946888154363364,0.0230554261760596,0.2840909090909091,0.8232749549886594,0.2972972972972973,0.0071489848441521,0.9946888154363364,0.0230554261760596,0.0139470013947001,0.9009006703853436,0.0427923060298249,17.865869760513306,0.5,150.0,10.0
3,A,candles-BINANCE,AVAX,0.0142979696883042,0.9882475916038084,0.0363297624592454,0.1915708812260536,0.8255687718304541,0.2810810810810811,0.0142979696883042,0.9882475916038084,0.0363297624592454,0.0266098988823842,0.8996129563193561,0.0643431635388739,19.227361917495728,0.5,150.0,100.0
4,A,candles-BINANCE,AVAX,0.0,1.0,0.0,0.0,0.8196026674076132,0.0,0.0,1.0,0.0,0.0,0.9008589425462874,0.0,25.475590229034424,0.001,50.0,10.0
5,A,candles-BINANCE,AVAX,0.0,1.0,0.0,0.0,0.8196026674076132,0.0,0.0,1.0,0.0,0.0,0.9008589425462874,0.0,70.02480673789978,0.001,50.0,100.0
6,A,candles-BINANCE,AVAX,0.0,1.0,0.0,0.0,0.8196026674076132,0.0,0.0,1.0,0.0,0.0,0.9008589425462874,0.0,57.02321910858154,0.001,150.0,10.0
7,A,candles-BINANCE,AVAX,0.0,1.0,0.0,0.0,0.8196026674076132,0.0,0.0,1.0,0.0,0.0,0.9008589425462874,0.0,182.80411863327024,0.001,150.0,100.0
8,A,candles-BINANCE,BNB,0.0092475830180748,0.9985642498205312,0.0094182825484764,0.4313725490196078,0.9044213263979194,0.2328767123287671,0.0092475830180748,0.9985642498205312,0.0094182825484764,0.0181069958847736,0.9491641078130332,0.0181043663471778,18.0665180683136,0.5,50.0,10.0
9,A,candles-BINANCE,BNB,0.0176544766708701,0.9960004102143368,0.0132963988919667,0.2307692307692307,0.9053156533289832,0.2526315789473684,0.0176544766708701,0.9960004102143368,0.0132963988919667,0.0327996876220226,0.9484953915644264,0.0252631578947368,19.61594009399414,0.5,50.0,100.0
10,A,candles-BINANCE,BNB,0.0092475830180748,0.9985642498205312,0.0094182825484764,0.4313725490196078,0.9044213263979194,0.2328767123287671,0.0092475830180748,0.9985642498205312,0.0094182825484764,0.0181069958847736,0.9491641078130332,0.0181043663471778,18.50193691253662,0.5,150.0,10.0
11,A,candles-BINANCE,BNB,0.0176544766708701,0.9960004102143368,0.0132963988919667,0.2307692307692307,0.9053156533289832,0.2526315789473684,0.0176544766708701,0.9960004102143368,0.0132963988919667,0.0327996876220226,0.9484953915644264,0.0252631578947368,19.74931502342224,0.5,150.0,100.0
12,A,candles-BINANCE,BNB,0.0,1.0,0.0,0.0,0.903121237380754,0.0,0.0,1.0,0.0,0.0,0.9490948024138602,0.0,27.548763036727905,0.001,50.0,10.0
13,A,candles-BINANCE,BNB,0.0,1.0,0.0,0.0,0.903121237380754,0.0,0.0,1.0,0.0,0.0,0.9490948024138602,0.0,69.04058003425598,0.001,50.0,100.0
14,A,candles-BINANCE,BNB,0.0,1.0,0.0,0.0,0.903121237380754,0.0,0.0,1.0,0.0,0.0,0.9490948024138602,0.0,60.46862411499024,0.001,150.0,10.0
15,A,candles-BINANCE,BNB,0.0,1.0,0.0,0.0,0.903121237380754,0.0,0.0,1.0,0.0,0.0,0.9490948024138602,0.0,181.4899718761444,0.001,150.0,100.0
16,A,candles-BINANCE,DOGE,0.0036513007759014,0.9988930079291524,0.0227589410125406,0.3636363636363636,0.901133355009522,0.4537037037037037,0.0036513007759014,0.9988930079291524,0.0227589410125406,0.0072300045187528,0.9474982295914628,0.0433436532507739,18.076483726501465,0.5,50.0,10.0
17,A,candles-BINANCE,DOGE,0.0073026015518028,0.9978375038616002,0.0195076637250348,0.2051282051282051,0.901269590289727,0.4038461538461538,0.0073026015518028,0.9978375038616002,0.0195076637250348,0.0141031291317761,0.9470983506414172,0.0372175454142667,19.203584909439087,0.5,50.0,100.0
18,A,candles-BINANCE,DOGE,0.0036513007759014,0.9988930079291524,0.0227589410125406,0.3636363636363636,0.901133355009522,0.4537037037037037,0.0036513007759014,0.9988930079291524,0.0227589410125406,0.0072300045187528,0.9474982295914628,0.0433436532507739,18.29319715499878,0.5,150.0,10.0
19,A,candles-BINANCE,DOGE,0.0073026015518028,0.9978375038616002,0.0195076637250348,0.2051282051282051,0.901269590289727,0.4038461538461538,0.0073026015518028,0.9978375038616002,0.0195076637250348,0.0141031291317761,0.9470983506414172,0.0372175454142667,19.29315686225891,0.5,150.0,100.0
20,A,candles-BINANCE,DOGE,0.0,1.0,0.0,0.0,0.8994165045846069,0.0,0.0,1.0,0.0,0.0,0.9470450555880632,0.0,29.959063053131104,0.001,50.0,10.0
